ema_period,atr1,atr2,Equity Final [$],Return [%],# Trades,Win Rate [%]
13,1.0,3.0,4460339.024662926,-9.023731076173048,10,40.0
13,1.0,4.0,4400885.815076223,-10.236381315053334,5,40.0
13,2.0,2.0,4422745.144432677,-9.790522779405904,18,38.88888888888889
13,2.0,3.0,4514658.822374801,-7.915785582075342,5,40.0
13,2.0,4.0,4309693.3941896185,-12.09640723696663,2,0.0
13,3.0,2.0,4006669.6620058543,-18.277096282579077,20,30.0
13,3.0,3.0,4447378.863111257,-9.288075812324582,5,40.0
13,3.0,4.0,4188001.707310936,-14.578518029454166,2,0.0
14,1.0,2.0,3925315.001268791,-19.93646420337992,32,28.125
14,1.0,3.0,4462906.548834667,-8.971362014488468,10,40.0
14,1.0,4.0,4516966.816502655,-7.868710081022795,6,50.0
14,2.0,2.0,4375464.89287731,-10.754884648874416,17,35.294117647058826
14,2.0,3.0,4525169.085188823,-7.701410735019676,5,40.0
14,2.0,4.0,4478475.623528347,-8.653804017574885,3,33.33333333333333
14,3.0,2.0,4014125.306226077,-18.125025623862587,20,30.0
14,3.0,3.0,4464056.645860886,-8.947903811924201,5,40.0
14,3.0,4.0,4405518.694407486,-10.141885790475012,3,33.33333333333333
15,1.0,2.0,3949634.1369691025,-19.44043369600525,30,33.33333333333333
15,1.0,3.0,4323196.340042785,-11.820991483498346,14,35.714285714285715
15,1.0,4.0,4517708.621275945,-7.853579699639088,6,50.0
15,2.0,2.0,4383476.024596014,-10.59148386933835,18,38.88888888888889
15,2.0,3.0,4413837.730558493,-9.972204771638506,8,37.5
15,2.0,4.0,4482361.384847547,-8.574547247003276,3,33.33333333333333
15,3.0,2.0,4022782.43781471,-17.948448568360405,21,33.33333333333333
15,3.0,3.0,4334306.026946614,-11.59439035344218,8,37.5
15,3.0,4.0,4412879.6840728335,-9.991745773844606,3,33.33333333333333
16,1.0,2.0,3951980.8341397895,-19.39256877997472,34,35.294117647058826
16,1.0,3.0,4322871.901866224,-11.827608956886978,14,35.714285714285715
16,1.0,4.0,4519215.107171746,-7.822852334470533,6,50.0
16,2.0,2.0,4285986.800830006,-12.579943892101255,19,36.84210526315789
16,2.0,3.0,4350271.804008317,-11.268740930940448,9,33.33333333333333
16,2.0,4.0,4487452.905395444,-8.470696947724369,3,33.33333333333333
16,3.0,2.0,4126244.17415131,-15.838168902120032,23,34.78260869565217
16,3.0,3.0,4347722.494571036,-11.320738471856902,8,37.5
16,3.0,4.0,4423799.609174128,-9.76901516140681,3,33.33333333333333
17,1.0,2.0,4046584.5594788077,-17.46296344951695,34,35.294117647058826
17,1.0,3.0,4208573.381262139,-14.158923435579226,15,26.666666666666668
17,1.0,4.0,4521592.179082714,-7.774367873485002,6,50.0
17,2.0,2.0,4371767.191525899,-10.830305613667862,20,35.0
17,2.0,3.0,4189426.46719419,-14.54945760656387,10,20.0
17,2.0,4.0,4492174.147768762,-8.374399107260986,3,33.33333333333333
17,3.0,2.0,4155997.2429527286,-15.231304003819721,22,31.818181818181817
17,3.0,3.0,4142726.1683752467,-15.50199034469947,9,22.22222222222222
17,3.0,4.0,4431828.197431841,-9.60525832579999,3,33.33333333333333
18,1.0,2.0,4135852.2351970677,-15.642196008422463,36,36.11111111111111
18,1.0,3.0,4267336.552059375,-12.960347722005514,17,35.294117647058826
18,1.0,4.0,4522435.337872713,-7.757170202993975,6,50.0
18,2.0,2.0,4375453.272397768,-10.75512166849691,20,35.0
18,2.0,3.0,4278777.590641804,-12.72698810582216,12,33.33333333333333
