ema_period,atr1,atr2,Equity Final [$],Return [%],# Trades,Win Rate [%]
13,1,5,13862874.249770425,11.307619456411349,19,73.68421052631578
13,1,5,13862874.249770425,11.307619456411349,19,73.68421052631578
13,1,5,13862874.249770425,11.307619456411349,19,73.68421052631578
13,1,5,13862874.249770425,11.307619456411349,19,73.68421052631578
13,1,5,13862874.249770425,11.307619456411349,19,73.68421052631578
15,1,5,15847746.600078803,27.24453212380688,33,72.72727272727273
15,1,5,15847746.600078803,27.24453212380688,33,72.72727272727273
15,1,5,15847746.600078803,27.24453212380688,33,72.72727272727273
15,1,5,15847746.600078803,27.24453212380688,33,72.72727272727273
15,1,5,15847746.600078803,27.24453212380688,33,72.72727272727273
10,1,4,14230755.037865836,14.261403356407904,29,72.41379310344827
10,1,4,14230755.037865836,14.261403356407904,29,72.41379310344827
10,1,4,14230755.037865836,14.261403356407904,29,72.41379310344827
10,1,4,14230755.037865836,14.261403356407904,29,72.41379310344827
10,1,4,14230755.037865836,14.261403356407904,29,72.41379310344827
17,1,6,14192417.087027235,13.953580752971082,18,72.22222222222221
17,1,6,14192417.087027235,13.953580752971082,18,72.22222222222221
17,1,6,14192417.087027235,13.953580752971082,18,72.22222222222221
17,1,6,14192417.087027235,13.953580752971082,18,72.22222222222221
17,1,6,14192417.087027235,13.953580752971082,18,72.22222222222221
18,1,6,14220587.60484339,14.17976712821159,18,72.22222222222221
18,1,6,14220587.60484339,14.17976712821159,18,72.22222222222221
18,1,6,14220587.60484339,14.17976712821159,18,72.22222222222221
18,1,6,14220587.60484339,14.17976712821159,18,72.22222222222221
18,1,6,14220587.60484339,14.17976712821159,18,72.22222222222221
9,1,4,13849449.03722244,11.19982590490904,21,71.42857142857143
9,1,4,13849449.03722244,11.19982590490904,21,71.42857142857143
9,1,4,13849449.03722244,11.19982590490904,21,71.42857142857143
9,1,4,13849449.03722244,11.19982590490904,21,71.42857142857143
9,1,4,13849449.03722244,11.19982590490904,21,71.42857142857143
14,1,5,14384685.69373203,15.497341485624789,24,70.83333333333334
14,1,5,14384685.69373203,15.497341485624789,24,70.83333333333334
14,1,5,14384685.69373203,15.497341485624789,24,70.83333333333334
14,1,5,14384685.69373203,15.497341485624789,24,70.83333333333334
14,1,5,14384685.69373203,15.497341485624789,24,70.83333333333334
12,1,5,13137774.139912266,5.485654570793881,13,69.23076923076923
12,1,5,13137774.139912266,5.485654570793881,13,69.23076923076923
12,1,5,13137774.139912266,5.485654570793881,13,69.23076923076923
12,1,5,13137774.139912266,5.485654570793881,13,69.23076923076923
12,1,5,13137774.139912266,5.485654570793881,13,69.23076923076923
5,1,3,12532358.728716042,0.6246605959266477,3,66.66666666666666
5,1,3,12532358.728716042,0.6246605959266477,3,66.66666666666666
5,1,3,12532358.728716042,0.6246605959266477,3,66.66666666666666
5,1,3,12532358.728716042,0.6246605959266477,3,66.66666666666666
5,1,3,12532358.728716042,0.6246605959266477,3,66.66666666666666
11,1,5,12457117.79440456,0.020537011380255103,6,66.66666666666666
11,1,5,12457117.79440456,0.020537011380255103,6,66.66666666666666
11,1,5,12457117.79440456,0.020537011380255103,6,66.66666666666666
11,1,5,12457117.79440456,0.020537011380255103,6,66.66666666666666
11,1,5,12457117.79440456,0.020537011380255103,6,66.66666666666666
14,1,6,12468235.230541008,0.10980099289744152,6,66.66666666666666
14,1,6,12468235.230541008,0.10980099289744152,6,66.66666666666666
14,1,6,12468235.230541008,0.10980099289744152,6,66.66666666666666
14,1,6,12468235.230541008,0.10980099289744152,6,66.66666666666666
14,1,6,12468235.230541008,0.10980099289744152,6,66.66666666666666
16,1,6,13327962.107831897,7.01270946409907,15,66.66666666666666
16,1,6,13327962.107831897,7.01270946409907,15,66.66666666666666
16,1,6,13327962.107831897,7.01270946409907,15,66.66666666666666
16,1,6,13327962.107831897,7.01270946409907,15,66.66666666666666
16,1,6,13327962.107831897,7.01270946409907,15,66.66666666666666
20,1,6,13358921.597106883,7.261289014681235,26,65.38461538461539
20,1,6,13358921.597106883,7.261289014681235,26,65.38461538461539
20,1,6,13358921.597106883,7.261289014681235,26,65.38461538461539
20,1,6,13358921.597106883,7.261289014681235,26,65.38461538461539
20,1,6,13358921.597106883,7.261289014681235,26,65.38461538461539
19,1,6,13982377.390526822,12.26713260465903,23,65.21739130434783
19,1,6,13982377.390526822,12.26713260465903,23,65.21739130434783
19,1,6,13982377.390526822,12.26713260465903,23,65.21739130434783
19,1,6,13982377.390526822,12.26713260465903,23,65.21739130434783
19,1,6,13982377.390526822,12.26713260465903,23,65.21739130434783
22,1,6,13707414.697933368,10.059405534465837,37,64.86486486486487
22,1,6,13707414.697933368,10.059405534465837,37,64.86486486486487
22,1,6,13707414.697933368,10.059405534465837,37,64.86486486486487
22,1,6,13707414.697933368,10.059405534465837,37,64.86486486486487
22,1,6,13707414.697933368,10.059405534465837,37,64.86486486486487
11,1,4,14717084.348773703,18.166232679225143,43,62.7906976744186
11,1,4,14717084.348773703,18.166232679225143,43,62.7906976744186
11,1,4,14717084.348773703,18.166232679225143,43,62.7906976744186
11,1,4,14717084.348773703,18.166232679225143,43,62.7906976744186
11,1,4,14717084.348773703,18.166232679225143,43,62.7906976744186
23,1,6,13131337.643905975,5.4339747362088655,39,61.53846153846154
23,1,6,13131337.643905975,5.4339747362088655,39,61.53846153846154
23,1,6,13131337.643905975,5.4339747362088655,39,61.53846153846154
23,1,6,13131337.643905975,5.4339747362088655,39,61.53846153846154
23,1,6,13131337.643905975,5.4339747362088655,39,61.53846153846154
12,1,4,14891664.918886492,19.56797284598165,61,60.65573770491803
12,1,4,14891664.918886492,19.56797284598165,61,60.65573770491803
12,1,4,14891664.918886492,19.56797284598165,61,60.65573770491803
12,1,4,14891664.918886492,19.56797284598165,61,60.65573770491803
12,1,4,14891664.918886492,19.56797284598165,61,60.65573770491803
25,1,6,13230064.01123971,6.226667270780416,48,58.333333333333336
25,1,6,13230064.01123971,6.226667270780416,48,58.333333333333336
25,1,6,13230064.01123971,6.226667270780416,48,58.333333333333336
25,1,6,13230064.01123971,6.226667270780416,48,58.333333333333336
25,1,6,13230064.01123971,6.226667270780416,48,58.333333333333336
38,1,6,13172214.502880698,5.762182709631637,93,58.06451612903226
38,1,6,13172214.502880698,5.762182709631637,93,58.06451612903226
38,1,6,13172214.502880698,5.762182709631637,93,58.06451612903226
38,1,6,13172214.502880698,5.762182709631637,93,58.06451612903226
38,1,6,13172214.502880698,5.762182709631637,93,58.06451612903226
40,1,6,13704473.255085392,10.03578813772138,100,57.99999999999999
40,1,6,13704473.255085392,10.03578813772138,100,57.99999999999999
40,1,6,13704473.255085392,10.03578813772138,100,57.99999999999999
40,1,6,13704473.255085392,10.03578813772138,100,57.99999999999999
40,1,6,13704473.255085392,10.03578813772138,100,57.99999999999999
8,1,3,12594632.958205637,1.1246720735669231,76,57.89473684210527
8,1,3,12594632.958205637,1.1246720735669231,76,57.89473684210527
8,1,3,12594632.958205637,1.1246720735669231,76,57.89473684210527
8,1,3,12594632.958205637,1.1246720735669231,76,57.89473684210527
8,1,3,12594632.958205637,1.1246720735669231,76,57.89473684210527
37,1,6,13416297.47860474,7.721970736860552,90,57.77777777777777
37,1,6,13416297.47860474,7.721970736860552,90,57.77777777777777
37,1,6,13416297.47860474,7.721970736860552,90,57.77777777777777
37,1,6,13416297.47860474,7.721970736860552,90,57.77777777777777
37,1,6,13416297.47860474,7.721970736860552,90,57.77777777777777
39,1,6,13544752.415669972,8.753359537952141,97,57.73195876288659
39,1,6,13544752.415669972,8.753359537952141,97,57.73195876288659
39,1,6,13544752.415669972,8.753359537952141,97,57.73195876288659
39,1,6,13544752.415669972,8.753359537952141,97,57.73195876288659
39,1,6,13544752.415669972,8.753359537952141,97,57.73195876288659
30,1,6,13700195.802906292,10.001443671284186,68,57.35294117647059
30,1,6,13700195.802906292,10.001443671284186,68,57.35294117647059
30,1,6,13700195.802906292,10.001443671284186,68,57.35294117647059
30,1,6,13700195.802906292,10.001443671284186,68,57.35294117647059
30,1,6,13700195.802906292,10.001443671284186,68,57.35294117647059
36,1,6,12504819.982114902,0.4035468303569276,89,57.30337078651685
36,1,6,12504819.982114902,0.4035468303569276,89,57.30337078651685
36,1,6,12504819.982114902,0.4035468303569276,89,57.30337078651685
36,1,6,12504819.982114902,0.4035468303569276,89,57.30337078651685
36,1,6,12504819.982114902,0.4035468303569276,89,57.30337078651685
17,1,5,13037919.771825247,4.683905106444921,49,57.14285714285714
17,1,5,13037919.771825247,4.683905106444921,49,57.14285714285714
17,1,5,13037919.771825247,4.683905106444921,49,57.14285714285714
17,1,5,13037919.771825247,4.683905106444921,49,57.14285714285714
17,1,5,13037919.771825247,4.683905106444921,49,57.14285714285714
41,1,6,13249738.971893048,6.384641222917935,107,57.009345794392516
41,1,6,13249738.971893048,6.384641222917935,107,57.009345794392516
41,1,6,13249738.971893048,6.384641222917935,107,57.009345794392516
41,1,6,13249738.971893048,6.384641222917935,107,57.009345794392516
41,1,6,13249738.971893048,6.384641222917935,107,57.009345794392516
31,1,6,13345898.06688562,7.156720645977218,72,56.94444444444444
31,1,6,13345898.06688562,7.156720645977218,72,56.94444444444444
31,1,6,13345898.06688562,7.156720645977218,72,56.94444444444444
31,1,6,13345898.06688562,7.156720645977218,72,56.94444444444444
31,1,6,13345898.06688562,7.156720645977218,72,56.94444444444444
27,1,6,12859269.831735013,3.2494912043059974,51,56.86274509803921
27,1,6,12859269.831735013,3.2494912043059974,51,56.86274509803921
27,1,6,12859269.831735013,3.2494912043059974,51,56.86274509803921
27,1,6,12859269.831735013,3.2494912043059974,51,56.86274509803921
27,1,6,12859269.831735013,3.2494912043059974,51,56.86274509803921
24,1,6,12481301.049719397,0.2147089075759961,44,56.81818181818182
24,1,6,12481301.049719397,0.2147089075759961,44,56.81818181818182
24,1,6,12481301.049719397,0.2147089075759961,44,56.81818181818182
24,1,6,12481301.049719397,0.2147089075759961,44,56.81818181818182
24,1,6,12481301.049719397,0.2147089075759961,44,56.81818181818182
9,1,3,13758526.338904504,10.469790493638504,111,56.75675675675676
9,1,3,13758526.338904504,10.469790493638504,111,56.75675675675676
9,1,3,13758526.338904504,10.469790493638504,111,56.75675675675676
9,1,3,13758526.338904504,10.469790493638504,111,56.75675675675676
9,1,3,13758526.338904504,10.469790493638504,111,56.75675675675676
32,1,6,13374864.19171758,7.389295099285563,74,56.75675675675676
32,1,6,13374864.19171758,7.389295099285563,74,56.75675675675676
32,1,6,13374864.19171758,7.389295099285563,74,56.75675675675676
32,1,6,13374864.19171758,7.389295099285563,74,56.75675675675676
32,1,6,13374864.19171758,7.389295099285563,74,56.75675675675676
28,1,6,12695286.015854983,1.932834366328338,55,56.36363636363636
28,1,6,12695286.015854983,1.932834366328338,55,56.36363636363636
28,1,6,12695286.015854983,1.932834366328338,55,56.36363636363636
28,1,6,12695286.015854983,1.932834366328338,55,56.36363636363636
28,1,6,12695286.015854983,1.932834366328338,55,56.36363636363636
43,1,6,13122498.825272713,5.363006202328407,110,56.36363636363636
43,1,6,13122498.825272713,5.363006202328407,110,56.36363636363636
43,1,6,13122498.825272713,5.363006202328407,110,56.36363636363636
43,1,6,13122498.825272713,5.363006202328407,110,56.36363636363636
43,1,6,13122498.825272713,5.363006202328407,110,56.36363636363636
42,1,6,11833307.336872002,-4.988154243,109,55.96330275229357
42,1,6,11833307.336872002,-4.988154243,109,55.96330275229357
42,1,6,11833307.336872002,-4.988154243,109,55.96330275229357
42,1,6,11833307.336872002,-4.988154243,109,55.96330275229357
42,1,6,11833307.336872002,-4.988154243,109,55.96330275229357
44,1,6,12390500.115072371,-0.51434884,111,55.85585585585585
44,1,6,12390500.115072371,-0.51434884,111,55.85585585585585
44,1,6,12390500.115072371,-0.51434884,111,55.85585585585585
44,1,6,12390500.115072371,-0.51434884,111,55.85585585585585
44,1,6,12390500.115072371,-0.51434884,111,55.85585585585585
7,1,3,12510053.67831743,0.4455691595482257,43,55.81395348837209
7,1,3,12510053.67831743,0.4455691595482257,43,55.81395348837209
7,1,3,12510053.67831743,0.4455691595482257,43,55.81395348837209
7,1,3,12510053.67831743,0.4455691595482257,43,55.81395348837209
7,1,3,12510053.67831743,0.4455691595482257,43,55.81395348837209
18,1,5,12818354.944092775,2.9209778915736466,52,55.769230769230774
18,1,5,12818354.944092775,2.9209778915736466,52,55.769230769230774
18,1,5,12818354.944092775,2.9209778915736466,52,55.769230769230774
18,1,5,12818354.944092775,2.9209778915736466,52,55.769230769230774
18,1,5,12818354.944092775,2.9209778915736466,52,55.769230769230774
35,1,6,11421647.324827282,-8.29344975,85,55.294117647058826
35,1,6,11421647.324827282,-8.29344975,85,55.294117647058826
35,1,6,11421647.324827282,-8.29344975,85,55.294117647058826
35,1,6,11421647.324827282,-8.29344975,85,55.294117647058826
35,1,6,11421647.324827282,-8.29344975,85,55.294117647058826
33,1,6,11645426.016386699,-6.496688631,78,55.12820512820513
33,1,6,11645426.016386699,-6.496688631,78,55.12820512820513
33,1,6,11645426.016386699,-6.496688631,78,55.12820512820513
33,1,6,11645426.016386699,-6.496688631,78,55.12820512820513
33,1,6,11645426.016386699,-6.496688631,78,55.12820512820513
29,1,6,12505581.585355725,0.4096618857328171,62,54.83870967741935
29,1,6,12505581.585355725,0.4096618857328171,62,54.83870967741935
29,1,6,12505581.585355725,0.4096618857328171,62,54.83870967741935
29,1,6,12505581.585355725,0.4096618857328171,62,54.83870967741935
29,1,6,12505581.585355725,0.4096618857328171,62,54.83870967741935
5,1,2,11994992.172493521,-3.689956349,140,54.285714285714285
5,1,2,11994992.172493521,-3.689956349,140,54.285714285714285
5,1,2,11994992.172493521,-3.689956349,140,54.285714285714285
