ema_period,atr1,atr2,Equity Final [$],Return [%],# Trades,Win Rate [%]
1,1,2,12454560,0,0,
1,1,3,12454560,0,0,
1,1,4,12454560,0,0,
1,1,5,12454560,0,0,
1,1,6,12454560,0,0,
1,1,7,12454560,0,0,
1,2,2,12454560,0,0,
1,2,3,12454560,0,0,
1,2,4,12454560,0,0,
1,2,5,12454560,0,0,
1,2,6,12454560,0,0,
1,2,7,12454560,0,0,
1,3,2,12454560,0,0,
1,3,3,12454560,0,0,
1,3,4,12454560,0,0,
1,3,5,12454560,0,0,
1,3,6,12454560,0,0,
1,3,7,12454560,0,0,
1,4,2,12454560,0,0,
1,4,3,12454560,0,0,
1,4,4,12454560,0,0,
1,4,5,12454560,0,0,
1,4,6,12454560,0,0,
1,4,7,12454560,0,0,
1,5,2,12454560,0,0,
1,5,3,12454560,0,0,
1,5,4,12454560,0,0,
1,5,5,12454560,0,0,
1,5,6,12454560,0,0,
1,5,7,12454560,0,0,
1,6,2,12454560,0,0,
1,6,3,12454560,0,0,
1,6,4,12454560,0,0,
1,6,5,12454560,0,0,
1,6,6,12454560,0,0,
1,6,7,12454560,0,0,
2,1,2,12454560,0,0,
2,1,3,12454560,0,0,
2,1,4,12454560,0,0,
2,1,5,12454560,0,0,
2,1,6,12454560,0,0,
2,1,7,12454560,0,0,
2,2,2,12454560,0,0,
2,2,3,12454560,0,0,
2,2,4,12454560,0,0,
2,2,5,12454560,0,0,
2,2,6,12454560,0,0,
2,2,7,12454560,0,0,
2,3,2,12454560,0,0,
2,3,3,12454560,0,0,
2,3,4,12454560,0,0,
2,3,5,12454560,0,0,
2,3,6,12454560,0,0,
2,3,7,12454560,0,0,
2,4,2,12454560,0,0,
2,4,3,12454560,0,0,
2,4,4,12454560,0,0,
2,4,5,12454560,0,0,
2,4,6,12454560,0,0,
2,4,7,12454560,0,0,
2,5,2,12454560,0,0,
2,5,3,12454560,0,0,
2,5,4,12454560,0,0,
2,5,5,12454560,0,0,
2,5,6,12454560,0,0,
2,5,7,12454560,0,0,
2,6,2,12454560,0,0,
2,6,3,12454560,0,0,
2,6,4,12454560,0,0,
2,6,5,12454560,0,0,
2,6,6,12454560,0,0,
2,6,7,12454560,0,0,
3,1,2,12182509.56882881,-2.184343977,2,50
3,1,3,12454560,0,0,
3,1,4,12454560,0,0,
3,1,5,12454560,0,0,
3,1,6,12454560,0,0,
3,1,7,12454560,0,0,
3,2,2,12000546.365199447,-3.645360694,2,50
3,2,3,12454560,0,0,
3,2,4,12454560,0,0,
3,2,5,12454560,0,0,
3,2,6,12454560,0,0,
3,2,7,12454560,0,0,
3,3,2,11539069.681490825,-7.350643608,2,0
3,3,3,12454560,0,0,
3,3,4,12454560,0,0,
3,3,5,12454560,0,0,
3,3,6,12454560,0,0,
3,3,7,12454560,0,0,
3,4,2,11272845.985120185,-9.488203637,2,0
3,4,3,12454560,0,0,
3,4,4,12454560,0,0,
3,4,5,12454560,0,0,
3,4,6,12454560,0,0,
3,4,7,12454560,0,0,
3,5,2,11008098.688749546,-11.61390937,2,0
3,5,3,12454560,0,0,
3,5,4,12454560,0,0,
3,5,5,12454560,0,0,
3,5,6,12454560,0,0,
3,5,7,12454560,0,0,
3,6,2,10747108.144193588,-13.70945144,2,0
3,6,3,12454560,0,0,
3,6,4,12454560,0,0,
3,6,5,12454560,0,0,
3,6,6,12454560,0,0,
3,6,7,12454560,0,0,
4,1,2,11577468.637719939,-7.042331181,40,50
4,1,3,12454560,0,0,
4,1,4,12454560,0,0,
4,1,5,12454560,0,0,
4,1,6,12454560,0,0,
4,1,7,12454560,0,0,
4,2,2,10584579.56705681,-15.0144239,36,47.22222222222222
4,2,3,12454560,0,0,
4,2,4,12454560,0,0,
4,2,5,12454560,0,0,
4,2,6,12454560,0,0,
4,2,7,12454560,0,0,
4,3,2,12141486.351696169,-2.513727087,35,54.285714285714285
4,3,3,12454560,0,0,
4,3,4,12454560,0,0,
4,3,5,12454560,0,0,
4,3,6,12454560,0,0,
4,3,7,12454560,0,0,
4,4,2,11139199.81204807,-10.56127385,33,51.515151515151516
4,4,3,12454560,0,0,
4,4,4,12454560,0,0,
4,4,5,12454560,0,0,
4,4,6,12454560,0,0,
4,4,7,12454560,0,0,
4,5,2,12822973.633893987,2.958062218930152,30,50
4,5,3,12454560,0,0,
4,5,4,12454560,0,0,
4,5,5,12454560,0,0,
4,5,6,12454560,0,0,
4,5,7,12454560,0,0,
4,6,2,10455782.014640251,-16.04856362,28,42.857142857142854
4,6,3,12454560,0,0,
4,6,4,12454560,0,0,
4,6,5,12454560,0,0,
4,6,6,12454560,0,0,
4,6,7,12454560,0,0,
17,6,4,16661035.982274441,33.77458523042517,88,61.36363636363637
5,1,3,12532358.728716042,0.6246605959266477,3,66.66666666666666
5,1,4,12454560,0,0,
5,1,5,12454560,0,0,
5,1,6,12454560,0,0,
5,1,7,12454560,0,0,
27,6,5,20445046.19990228,64.15711353835287,82,60.97560975609756
5,2,3,11567550.962890957,-7.121962053,3,33.33333333333333
5,2,4,12454560,0,0,
5,2,5,12454560,0,0,
5,2,6,12454560,0,0,
5,2,7,12454560,0,0,
33,5,5,17134344.165036824,37.5748654712557,99,60.60606060606061
5,3,3,11261767.58294176,-9.577154207,3,33.33333333333333
5,3,4,12454560,0,0,
5,3,5,12454560,0,0,
5,3,6,12454560,0,0,
5,3,7,12454560,0,0,
32,5,5,16447753.072758796,32.06209671605256,98,60.204081632653065
5,4,3,10958972.851985293,-12.00834994,3,33.33333333333333
