ema_period,atr1,atr2,Equity Final [$],Return [%],# Trades,Win Rate [%]
81,1,5,10559597.134837717,-15.21501253,250,52.800000000000004
81,1,5,10559597.134837717,-15.21501253,250,52.800000000000004
81,1,5,10559597.134837717,-15.21501253,250,52.800000000000004
81,1,5,10559597.134837717,-15.21501253,250,52.800000000000004
81,1,5,10559597.134837717,-15.21501253,250,52.800000000000004
83,1,5,10307263.396092974,-17.24104749,249,52.610441767068274
83,1,5,10307263.396092974,-17.24104749,249,52.610441767068274
83,1,5,10307263.396092974,-17.24104749,249,52.610441767068274
83,1,5,10307263.396092974,-17.24104749,249,52.610441767068274
83,1,5,10307263.396092974,-17.24104749,249,52.610441767068274
80,1,5,10007740.51762635,-19.6459729,248,52.41935483870967
80,1,5,10007740.51762635,-19.6459729,248,52.41935483870967
80,1,5,10007740.51762635,-19.6459729,248,52.41935483870967
80,1,5,10007740.51762635,-19.6459729,248,52.41935483870967
80,1,5,10007740.51762635,-19.6459729,248,52.41935483870967
93,1,5,10634485.744063677,-14.61371783,260,52.307692307692314
93,1,5,10634485.744063677,-14.61371783,260,52.307692307692314
93,1,5,10634485.744063677,-14.61371783,260,52.307692307692314
93,1,5,10634485.744063677,-14.61371783,260,52.307692307692314
93,1,5,10634485.744063677,-14.61371783,260,52.307692307692314
94,1,5,10497813.134314124,-15.71108787,260,52.307692307692314
94,1,5,10497813.134314124,-15.71108787,260,52.307692307692314
94,1,5,10497813.134314124,-15.71108787,260,52.307692307692314
94,1,5,10497813.134314124,-15.71108787,260,52.307692307692314
94,1,5,10497813.134314124,-15.71108787,260,52.307692307692314
55,1,5,9947818.709219195,-20.12709635,219,52.054794520547944
55,1,5,9947818.709219195,-20.12709635,219,52.054794520547944
55,1,5,9947818.709219195,-20.12709635,219,52.054794520547944
55,1,5,9947818.709219195,-20.12709635,219,52.054794520547944
55,1,5,9947818.709219195,-20.12709635,219,52.054794520547944
82,1,5,10163950.77607681,-18.39173141,248,52.016129032258064
82,1,5,10163950.77607681,-18.39173141,248,52.016129032258064
82,1,5,10163950.77607681,-18.39173141,248,52.016129032258064
82,1,5,10163950.77607681,-18.39173141,248,52.016129032258064
82,1,5,10163950.77607681,-18.39173141,248,52.016129032258064
86,1,5,10321620.138452668,-17.12577451,252,51.98412698412699
86,1,5,10321620.138452668,-17.12577451,252,51.98412698412699
86,1,5,10321620.138452668,-17.12577451,252,51.98412698412699
86,1,5,10321620.138452668,-17.12577451,252,51.98412698412699
86,1,5,10321620.138452668,-17.12577451,252,51.98412698412699
78,1,5,8951519.36237319,-28.12657081,243,51.85185185185185
78,1,5,8951519.36237319,-28.12657081,243,51.85185185185185
78,1,5,8951519.36237319,-28.12657081,243,51.85185185185185
78,1,5,8951519.36237319,-28.12657081,243,51.85185185185185
78,1,5,8951519.36237319,-28.12657081,243,51.85185185185185
79,1,5,8721399.570439687,-29.97424581,243,51.85185185185185
79,1,5,8721399.570439687,-29.97424581,243,51.85185185185185
79,1,5,8721399.570439687,-29.97424581,243,51.85185185185185
79,1,5,8721399.570439687,-29.97424581,243,51.85185185185185
79,1,5,8721399.570439687,-29.97424581,243,51.85185185185185
84,1,5,10185644.212919302,-18.21755074,245,51.83673469387755
84,1,5,10185644.212919302,-18.21755074,245,51.83673469387755
84,1,5,10185644.212919302,-18.21755074,245,51.83673469387755
84,1,5,10185644.212919302,-18.21755074,245,51.83673469387755
84,1,5,10185644.212919302,-18.21755074,245,51.83673469387755
56,1,4,10027167.687405907,-19.48998851,340,51.76470588235295
56,1,4,10027167.687405907,-19.48998851,340,51.76470588235295
56,1,4,10027167.687405907,-19.48998851,340,51.76470588235295
56,1,4,10027167.687405907,-19.48998851,340,51.76470588235295
56,1,4,10027167.687405907,-19.48998851,340,51.76470588235295
75,1,4,10378033.035752509,-16.67282477,344,51.74418604651163
75,1,4,10378033.035752509,-16.67282477,344,51.74418604651163
75,1,4,10378033.035752509,-16.67282477,344,51.74418604651163
75,1,4,10378033.035752509,-16.67282477,344,51.74418604651163
75,1,4,10378033.035752509,-16.67282477,344,51.74418604651163
51,1,5,9846742.040269455,-20.93865989,201,51.741293532338304
51,1,5,9846742.040269455,-20.93865989,201,51.741293532338304
51,1,5,9846742.040269455,-20.93865989,201,51.741293532338304
51,1,5,9846742.040269455,-20.93865989,201,51.741293532338304
51,1,5,9846742.040269455,-20.93865989,201,51.741293532338304
100,1,5,10183342.778141202,-18.23602939,269,51.6728624535316
100,1,5,10183342.778141202,-18.23602939,269,51.6728624535316
100,1,5,10183342.778141202,-18.23602939,269,51.6728624535316
100,1,5,10183342.778141202,-18.23602939,269,51.6728624535316
100,1,5,10183342.778141202,-18.23602939,269,51.6728624535316
54,1,4,10388717.779275112,-16.58703496,329,51.671732522796354
54,1,4,10388717.779275112,-16.58703496,329,51.671732522796354
54,1,4,10388717.779275112,-16.58703496,329,51.671732522796354
54,1,4,10388717.779275112,-16.58703496,329,51.671732522796354
54,1,4,10388717.779275112,-16.58703496,329,51.671732522796354
53,1,5,9775333.532341644,-21.51201221,215,51.627906976744185
53,1,5,9775333.532341644,-21.51201221,215,51.627906976744185
53,1,5,9775333.532341644,-21.51201221,215,51.627906976744185
53,1,5,9775333.532341644,-21.51201221,215,51.627906976744185
53,1,5,9775333.532341644,-21.51201221,215,51.627906976744185
54,1,5,9673874.866847904,-22.32664288,219,51.598173515981735
