,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),"Entry_atr_func(H,L,C)","Exit_atr_func(H,L,C)"
0,-109,437,443,113993.6,112612.86878590469,115374.33121409532,112612.86878590469,150499.70233638928,0.0,0.012112357308614818,2025-08-05 13:15:00,2025-08-05 14:45:00,0 days 01:30:00,,114285.91864368768,113590.03138333089,338.3777777777771,432.3111111111114
1,108,621,877,116432.3,118082.30094248531,114782.2990575147,118082.30094248531,178200.10178841295,0.0,0.014171333405638364,2025-08-07 11:15:00,2025-08-10 03:15:00,2 days 16:00:00,,115960.09539680943,117279.33811908973,299.3222222222232,319.15555555555653
2,107,880,968,118480.0,120547.18950472823,116413.01049527178,120547.18950472823,221189.27700592065,0.0,0.017447581910265297,2025-08-10 04:00:00,2025-08-11 02:00:00,0 days 22:00:00,,117867.49071697396,119767.39634384146,406.78888888889117,454.9111111111108
3,-110,1531,1555,117450.0,117799.58734206641,117799.58734206641,117100.6126579336,-38454.60762730552,0.0,-0.0029764780082282005,2025-08-16 22:45:00,2025-08-17 04:45:00,0 days 06:00:00,,117457.1505655892,117696.4801791069,114.27777777777777,124.95555555555458
4,-117,2387,2611,109882.1,112858.49203959561,112858.49203959561,106905.50796040439,-348237.8686326862,0.0,-0.02708714194209616,2025-08-25 20:45:00,2025-08-28 04:45:00,2 days 08:00:00,,110657.29223867453,112232.93763858137,691.5222222222235,269.4111111111124
5,115,2886,2919,109280.0,108446.11608790504,108446.11608790504,110114.08391209497,-95896.64989091994,0.0,-0.007630709298087068,2025-08-31 01:30:00,2025-08-31 09:45:00,0 days 08:15:00,,109058.89296292591,108744.42649102068,177.56666666666732,168.8666666666686
